Model_Code,c40HC
DQ200PPBC,468
DQ200PSAA,468
DQ202PBBC,468
DQ202PGUA,468
DQ202PPBC,468
DQ202PSUA,468
DQ203PCCA,468
DQ203PECA,468
DQ205PBBC,483
DQ205PEGA,483
DQ205PSVA,483
DQ214MEGA,600
DQ214MWGA,600
DQ235MEGA,600
DQ235MWGA,600
DR-80BW,150
DS9152S,175
DSKSS,1944
DSNH122E5B1,140
DSP100B,252
DSP100K,252
DSP100V,252
DSP100W,252
DSP12ALG,780
DSP18ALG,504
DSP200V,168
DSP25ALG,504
DST156MAA,3180
DSTWH,936
DSUH122E5B1,140
DT21VS,90
DT21VSE,90
DT21WS,90
DT22BSSG,90
DT22BSSG1,90
DT22VSSG,90
DT22VSSGD,90
DT22WTG,90
DT25BTSG,90
DT25BTSGD,90
DT25MTGKE,90
DT25VTGP2,90
DT25VTSG,90
DT25VTSGD,90
DT25WTG,90
DT25WTGP2,90
DT2CM,5904
DT30BTSG,56
DT4CM,5904
DT6040WU,840
DT73EWTXE,90
DT73PBTXE,90
DT80N,60840
DTR0WA31,13440
DU315FP,158
DU325FP,158
DU325FW,158
DU355FP,160
DU355FW,160
DU386FV,160
DU386FW,160
DU517HMS,158
DU6000S,840
DU9000S,570
DUA127HC,140
DUA127HD,140
DUA127TC,140
DUA127TD,140
DUA127TM,140
DUA127TT,140
DUA215TDK,140
DUA215TTK,140
DUA217TD,140
DUA217TM,140
DUA217TT,140
DUA227HD,140
DUA227HT,140
DUA227TCK,140
DUA227TDK,140
DUA267HC,142
DUA267HD,142
DUA267TC,142
DUA267TD,142
DUA315HB,140
DUA315HC,142
DUA315HD,140
DUA315HDL,140
DUA315HM,140
DUA315HT,140
DUA315HT1,140
DUA315HW,140
DUA315TCK,140
DUA315TDK,140
DUA325HC,140
DUA325HD,140
DUA325HM,140
DUA325TC,140
DUA325TD,140
DUA335HC,142
DUA335HD,140
DUA335HM,140
DUA335HM1,140
DUA345HC,142
DUA345HD,140
DUA355HC,142
DUA355HD,142
DUA365HC,142
DUA412TDK,142
DUA412TTK,142
DUA413FC,140
DUA413FD,140
DUA413FT,140
DUA413TC,140
DUA413TD,140
DUA413TT,140
DUA414TB,410
DUA414TD,140
DUA414TT,140
DUA414TW,140
DUA415FT,140
DUA433TC,142
DUA433TD,142
DUA473HC,140
DUA473HD,142
DUA473NC,140
DUA473TC,140
DUA473TD,140
DUA512FC,140
DUA513FB,142
DUA513FC,142
DUA513FD,142
DUA513FT,140
DUA513FW,142
DUA513HC,142
DUA513HT,142
DUA513HT1,142
DUA513HW,142
DUA612FC,140
DUA612FT,142
DUA613FC,142
DUA712FB,140
DUA712FP,142
DUA712FPB,140
DUA712FPU,142
DUA712FW,142
DUAG17HN,140
DUAG27HN,142
DUAK27TT,142
DUAK67TC,142
DUAK67TK,142
DUAK67TT,142
DUAL12AT3,880
DUAL18AT3,550
DUAL22AT3,550
DUAS27TC,142
DUAS27TC1,142
DUAS27TC2,142
DUAS27TD1,142
DUAS27TT,142
DUAS27TT1,142
DUAS67TC,142
DUAS67TEW,140
DUB227HM,158
DUB22SB,160
DUB315FP,158
DUB325HM,158
DUB325HP,158
DUB325HS,158
DUB424FP,158
DUB512FT,160
DUB61TB,158
DUB61TBE,158
DUC227HM,158
DUC227HS,158
DUC227HW,158
DUC237HHS,160
DUC237HM,160
DUC237HMS,160
DUC237HS,160
DUC237HVS,160
DUC237HW,160
DUC237HWS,160
DUC315FP,158
DUC315FPE,160
DUC315FW,158
DUC315FWE,160
DUC415FVS,160
DUC415FWS,160
DUDF612C,142
DUDH267C,140
DUDH267D,140
DUDH356C,142
DUDH356D,140
DUDH366C,142
DUDH454C,140
DUDH454D,140
DUDH524C,140
DUDH524C1,142
DUDT168C,142
DUDT267C,142
DUDT267D,140
DUDT356C,142
DUDT454C,142
DUDT454D,140
DUDTS69C,142
DUMMY250HV,252
DUMMY250HW,252
DV908IH2,150
DV908IH2S,150
DVH10-10W,150
DVH4-08W,150
DVH45-08W,150
DVH45-08WG,150
DVH9-08B,150
DVH9-09B,150
DVH9-10B,150
DVHP09B,150
DVHP09W,150
DVK2,3542
DVKA,806
DVKB,6600
DVM7195BLTS,325
DVM7195EKES,325
DVM7195FLDS,325
DVM7195SKSS,325
DWC1,25872
DWC2,25872
DWV1608TB,140
DWV1608WB,140
DXH3-08W,150
DXH3-10W,150
DXH9-09W,150
DXT103MAA,4104
DY1119RD7,72
DYBK,10527
DYF42BSIWS,30
DZP27D0,539
DZP97D0,728
E0630SA6N3A,47520
E0640SA6N3A,52800
E06SV3,840
E06SV4,840
E06SV5,900
E07SQ,648
E0962Q,612
E09AWN-NB11,675
E09AWN-NB13,648
E09EJ,648
E09EK,648
E09EL,760
E09EM,910
E09NXA,780
E09SQ,648
E09SQU,489
E1039SD,264
E10C9LD,225
E10CMV,840
E10MIV,840
E10SV3,840
E10SV4,840
E10SV5,900
E1230SA6N6A,19200
E1240SA6N6A,23760
E1240SA6N6C,26400
E1257SA6N6A,26400
E1262Q,612
E12AWN-NB13,648
E12EJ,648
E12EK,648
E12EK1,505
E12EL,760
E12EM,729
E12SQ,648
E12SQU,489
E13CMV,720
E13MIV,720
E13SIV,780
E13SIV3,780
E13SIV4,780
E13SV5,780
E1840SA2N6A,8640
E1857SA2N21,8064
E1857SA2R21,6552
E1863P,430
E1863Q,430
E18AWN-NC11,488
E18AWN-NC13,488
E18CMV,432
E18EM,608
E18IV,432
E18SQ,488
E19SIV3,495
E19SIV4,495
E19SV5,550
E2130SA6N2A,12800
E2140SA6N2A,17600
E2140SA6N2C,17600
E2157SA6N2A,17600
E2240SA2N2A,4320
E2350SA2N21,3680
E24AWN-NC13,488
E24SQ,488
E28AWN-NC13,488
E32AWN-NV13,367
E32AWN-UV13,171
E3540SA2N5A,3150
E3540SA2N5B,3150
E36T55U2NK5,1120
E4040SA2N2A,4320
E4040SA2N2B,3150
E4040SA2N2C,3780
E4850SA2N21,3024
E4WV510S3W,162
E523BR,72
E523CW,72
E523FR,72
E523IR,72
E523MR,72
E523MW,72
E523WR,72
E6040SA2N5A,3150
E6040SA2N5B,3150
E6040SA2N5C,2940
EA430S,216
EA530S,216
EA550SP,216
EA780SP,216
EA790SP,216
EAD34839007,3920
EAD34839010,8316
EAD62474201,3577500
EAD62474202,858600
EAD62499701,858600
EAD62525901,3577500
EAD62525902,2146500
EAD62567901,2146500
EAD62607601,357750
EAD62669901,288000
EAD62670001,3577500
EAD62725001,1024000
EAD62725002,720000
EAD62725005,1024000
EAD62765001,858600
EAD63006201,26400
EAD63028601,26400
EAD63028801,105600
EAD63049901,26400
EAD63326101,1024000
EAD63326102,1024000
EAD63385801,26400
EAD63385901,105600
EAV62136701,134880
EAV62136702,134880
EAV62136703,134880
EAV62136901,134880
EAV62136902,134880
EAV62136903,134880
EAV62312601,134880
EAV62312602,134880
EAV62312603,134880
EAV62452401,134880
EAV62452402,134880
EAV62452501,151200
EAV62452502,134880
EAV62452601,134880
EAV62452602,134880
EAV62771901,115200
EAV62771902,151200
EAV62772101,115200
EAV62772102,96000
EAV62772301,115200
EAV62772302,151200
EAY63051001,43360
EAY63074601,43360
EAY63230101,22500
EAY63230102,77850
EAY63648601,77850
EBR79820301,22500
ECGG34AM200,3840
ECGG34AM20C,3840
ECGM34BM2A0,3840
ECGM34BM2AC,3840
ED00064CN00,144
ED05K000E00,144
EDA0405B1R,47040
EDA1470Y1S,15360
EDB0408B1R,47040
EDB1600Y1O,15360
EDB1600Y1S,15360
EHRV0506BA2,126
EHRV0506BA5,126
EHRV050GXN0,912
EHRV050GXN4,32
EHRV080GXN0,45
EHRV080GXN4,32
EHRV1006BA2,45
EHRV1006BA5,45
EHRV100GXN0,912
EHRV100GXN4,32
EHRV1506BA2,18
EHRV2006BA2,18
EHRV2006BA5,16
EK-H2408C00,8
EKMH1808C00,14
EKMH2408C00,8
EKS080PAA,1160
EKS094CAA,1160
EKS094PAA,1160
ELB81MCVCP,60
ELB81MCVCP1,60
ELB81PZVCP,60
ELB81PZVCP1,60
ELB81SWVCP,60
ELB81SWVCP1,60
ELB92MBACP,60
ELB92MCACP,60
EM430S,216
EP08G11A,300
EP08G11B,420
EP12G33A,300
EP12G33B,285
EP18G33A,176
EP18G33B,168
EP24G33A,176
EP24G33B,168
ES-H096JLA1,298
ES-H1264DA0,337
ES09WN-NB13,603
ES12WN-NB13,603
ES12WN-UB13,505
ES551SP,144
ESNH0964DA0,20
ESNH0964DM0,20
ESNH1264SA3,240
ESNH126E0M2,792
ESNH1865EB1,155
ESNW096B4A1,260
ESNW096BWS0,260
ESNW096ERH2,720
ESNW096J3W0,300
ESNW126B4A1,260
ESNW126BSA2,260
ESNW126BWS0,260
ESNW126ERH2,720
ESNW126HDA1,720
ESNW126J3A0,300
ESNW126J3W0,300
ESNW1865SH2,70
ESNW186C4A1,488
ESNW186CSA2,240
ESNW186CWS0,135
ESNW186K3A0,165
ESNW186K3W0,165
ESNW2465SH2,55
ESNW246C4A1,488
ESNW246CSA2,135
ESNW246CWS0,120
ESNW246K3A0,135
ESNW246K3W0,135
ESUH0964DA0,20
ESUH0964DM0,20
ESUH1264EB1,220
ESUH126LLA0,316
ESUH1865EB1,155
ESUW096B4A1,260
ESUW096BWS0,260
ESUW096J3W0,300
ESUW126B4A1,260
ESUW126BSA2,260
ESUW126BWS0,260
ESUW126HDA1,489
ESUW126J3A0,300
ESUW126J3W0,300
ESUW1865SH2,70
ESUW186C4A1,272
ESUW186CSA2,240
ESUW186CWS0,135
ESUW186K3A0,165
ESUW186K3W0,165
ESUW2465SH2,55
ESUW246C4A1,171
ESUW246CSA2,135
ESUW246CWS0,120
ESUW246K3A0,135
ESUW246K3W0,135
ETNH04GK2A4,273
ETNH04GK2S,273
ETNH04GK3A4,180
ETNH04GK3S,180
ETNH08GK3A4,180
ETNH08GK3S,180
ETNH10GK2A4,273
ETNH10GK2S,297
ETNI05GL1S4,300
ETNI05GTRB4,486
ETNI05GTRP,486
ETNI05GTRP4,486
ETNI07GBHS,294
ETNI07GCES,246
ETNI07GCES4,246
ETNI07GCEU4,338
ETNI07GCEUS,338
ETNI07GL1S4,300
ETNI07GM1A4,224
ETNI07GQAS,488
ETNI07GSFP,612
ETNI07GTJP,598
ETNI07GTRB4,486
ETNI07GTRP,486
ETNI07GTRP4,486
ETNI07GTUB4,440
ETNI07GTUP,440
ETNI07GTUP4,440
ETNI09GBHS,294
ETNI09GCES,246
ETNI09GCES4,246
ETNI09GCEU4,338
ETNI09GCEUS,338
ETNI09GL1S,300
ETNI09GL1S4,300
ETNI09GM1A4,224
ETNI09GQAS,488
ETNI09GSFP,612
ETNI09GTJP,598
ETNI09GTRB4,486
ETNI09GTRP,486
ETNI09GTRP4,486
ETNI09GTSP4,272
ETNI09GTUB4,440
ETNI09GTUP,440
ETNI09GTUP4,440
ETNI09GVES,432
ETNI12GBHS,294
ETNI12GCES,246
ETNI12GCES4,246
ETNI12GCEU4,338
ETNI12GCEUS,338
ETNI12GL2S,300
ETNI12GL2S4,300
ETNI12GM1A4,224
ETNI12GQAS,488
ETNI12GSFP,612
ETNI12GTJP,598
ETNI12GTRB4,486
ETNI12GTRP,486
ETNI12GTRP4,486
ETNI12GTSP4,272
ETNI12GTUB4,440
ETNI12GTUP,440
ETNI12GTUP4,440
ETNI12GVES,432
ETNI15GBHS,294
ETNI15GCES,246
ETNI15GCES4,246
ETNI15GCEU4,338
ETNI15GCEUS,338
ETNI15GL2S,300
ETNI15GL2S4,300
ETNI15GM1A4,224
ETNI15GQAS,488
ETNI15GTQB4,432
ETNI15GTQP,432
ETNI15GTQP4,432
ETNI18GBHS,294
ETNI18GCFS,195
ETNI18GCFS4,195
ETNI18GCFU4,268
ETNI18GCFUS,268
ETNI18GL2S,300
ETNI18GL2S4,300
ETNI18GM1A4,224
ETNI18GS3M,550
ETNI18GS8M,540
ETNI18GTLP,384
ETNI18GTQB4,432
ETNI18GTQP,432
ETNI18GTQP4,432
ETNI18GTSP4,272
ETNI18GTTB4,320
ETNI18GTTP,320
ETNI18GTTP4,320
ETNI18GVJS,264
ETNI18GVJS4,216
ETNI21GL3S4,240
ETNI21GTQB4,432
ETNI21GTQP4,432
ETNI24GBHS,294
ETNI24GCFS,195
ETNI24GCFS4,195
ETNI24GCFU4,268
ETNI24GCFUS,268
ETNI24GL3S,240
ETNI24GL3S4,240
ETNI24GM1A4,224
ETNI24GS3M,550
ETNI24GS8M,540
ETNI24GTLP,384
ETNI24GTPP,234
ETNI24GTPP4,234
ETNI24GTSP4,272
ETNI24GTTB4,320
ETNI24GTTP,320
ETNI24GTTP4,320
ETNI24GVJS,264
ETNI24GVLS4,216
ETNI28GBGS,223
ETNI28GM2A4,168
ETNI28GTPP,234
ETNI28GTPP4,234
ETNI36GBGS,223
ETNI36GM2A4,168
ETNI36GTNP,208
ETNI36GTNP4,208
ETNI36GVKS,192
ETNI36GVKS4,160
ETNI42GBGS,223
ETNI42GM2A4,168
ETNI42GTMP,182
ETNI42GTMP4,182
ETNI48GBRS,120
ETNI48GM3A4,144
ETNI48GTMP,182
ETNI48GTMP4,182
ETNI48GVKS4,160
ETNI48GVLS,152
ETNI54GM3A4,144
ETNI76GB8S,70
ETNI76GB8S4,56
ETNI76GB8Z,70
ETNI76GB8Z4,56
ETNI96GB8S,70
ETNI96GB8S4,56
ETNI96GB8Z,70
ETNI96GB8Z4,56
ETOB08LU4,28
ETOB10LU3,30
ETOB10LU4,28
ETOB12LU3,30
ETOB12LU4,28
ETOB14LU3,23
ETOB14LU4,23
ETOB16LU3,23
ETOB16LU4,23
ETOB18LU3,23
ETOB18LU4,23
ETOB20LU3,23
ETOB20LU4,23
ETON04MGSA,104
ETON04MGUA,110
ETON04MLSA,52
ETON05MGSA,52
ETON05MGU,52
ETON05MGUA,52
ETON05MLSA,52
ETON05MLUA,52
ETON06MGSA,52
ETON06MGU,52
ETON06MGUA,52
ETON06MLSA,52
ETON06MLU,52
ETON06MLUA,52
ETON08LH4,28
ETON08LLS4,30
ETON08LU3,30
ETON08LU4,28
ETON08LU5,28
ETON08LUH3,30
ETON08LUH4,28
ETON08MLUA,52
ETON10LH4,28
ETON10LLS4,28
ETON10LU3,30
ETON10LU4,30
ETON10LU5,28
ETON10LUH3,30
ETON10LUH4,28
ETON12LH4,28
ETON12LLS4,28
ETON12LU3,30
ETON12LU4,28
ETON12LU5,30
ETON12LUH3,23
ETON12LUH4,23
ETON12MLUA,42
ETON14LLS4,28
ETON14LU,25
ETON14LU3,23
ETON14LU4,23
ETON14LUH3,23
ETON14LUH4,23
ETON16LH4,23
ETON16LLS4,23
ETON16LU3,23
ETON16LU4,23
ETON16LUH3,23
ETON16LUH4,23
ETON18LLS4,23
ETON18LU3,23
ETON18LU4,23
ETON20LH4,23
ETON20LLS4,23
ETON20LU3,23
ETON20LU4,23
ETWB08LA4,98
ETWB10LA,92
ETWB10LA4,98
ETWB12LA4,98
ETWB14LA4,98
ETWB16LA4,98
ETWB18LA4,98
ETWB20LA,92
ETWB20LA4,98
ETWN08LA4,98
ETWN10LA,92
ETWN10LA4,98
ETWN12LA4,98
ETWN14LA4,98
ETWN16LA4,98
ETWN18LA4,98
ETWN20LA,92
ETWN20LA4,98
EWN1,7680
EXD100-JECN,1080
EXD29-JECN,1080
EXD43-JECN,1080
EXD57-JECN,1080
EXD80-JECN,1080
EZ09CSN,880
EZ09CSU,490
EZ09CYN,880
EZ09CYU,490
EZ12CSM,880
EZ12CSN,880
EZ12CSU,490
EZ12CYM,880
EZ12CYN,880
EZ12CYU,490
EZ18CJN,550
EZ18CJU,312
EZ18CSN,550
EZ18CSU,312
EZ18CYN,550
EZ18CYU,312
EZ24CSN,550
EZ24CSU,171
EZ24CYN,550
EZ24CYU,171
EZ330S,144
EZ430S,144
EZ530S,144
EZ550SP,144
EZ780SP,144
EZ790SP,144
F-12085V2W,114
F-12085V3V,114
F-12085V4W,114
F-1208V4W,114
F-1208V5W,114
F-14105V2W,102
F-2004SQ,78
F-A201GDW,76
F-A311GCS,54
F-C12085V2B,114
F-C12085V2W,114
F-C1208V4W,114
F-C14105V2W,102
F01409WBG,162
F014TOPBDE,94
F015TOPBD,90
F0610WS,223
F0610WW,223
F0662W,226
F0712WS,162
F0712WW,161
F0712WWD,223
F0772W,226
F07B8QDT2,159
F07B8QDT25,159
F07J5QNPS,161
F07J5QNPW,161
F0805CW,161
F0812WS,162
F0812WW,162
F0814WS2,161
F0814WW0,161
F0814WW1,161
F0814WW2,161
F0814WW3,161
F0854S,212
F0854SE,212
F0882W,161
F0896TDT23,159
F08J6TYPW,161
F0902RDT,159
F0903RDP,161
F0903RDT,159
F0905ERD,161
F0905ERDS,162
F0905TSRD,161
F0905WRD,161
F0905WRD1,161
F0914WW,161
F0914WW2,161
F0914WWT,161
F09CN-N,675
F09CN-U,420
F09KM,592
F09MK,592
F09MT,592
F09NAK,592
F0G6VMP22,162
F0G6VMP2C,162
F0H6LNP2LB,144
F0H6LNP2WB,144
F0H6LNP2WW,144
F0J5LN3W,223
F0J5NN3W,226
F0J5NN4L,223
F0J5NN4W,211
F0J5NN7S,223
F0J5NNP3W,223
F0J5NNW4W,225
F0J5NY3W,225
F0J5NY4W,225
F0J5QN3W,159
F0J5QN4W,159
F0J5TN3W,162
F0J5WN3W,225
F0J5WN4W,225
F0J5WY3W,225
F0J6NN0W,211
F0J6NNW0W,225
F0J6NS0W,223
F0J6NS1W,211
F0J6NSW1W,225
F0J6QN0W,161
F0J6WN0W,225
F0J6WY0W,225
F0J6WY1W,225
F0K1CHK2T2,90
F0K1CHK2W2,90
F0K1CRK2T,90
F0K2CHK2T,90
F0K2CHK2T2,90
F0K2CHK2T2C,90
F0K2CHK2T2P,90
F0K2CHK2W,90
F0K2CHK2W2,90
F0K2CHK5T2,90
F0K2CHK5W2,90
F0K2CHP2T2,90
F0K2CRK5T,90
F0K2CYK5T,90
F0K2CYK5W,90
F0K4CHK2T2,90
F0K4CSK2T4,84
F0K6DFK0W,90
F0K6DFK0WP,90
F0K6DFK2S,90
F0K6DFK2S2,90
F0K6DFK2S2P,90
F0K6DFK2SP,90
F0K6DGK2S2,90
F0K6DGK2S2P,90
F0K6DMK0W2P,90
F0K6DMK0WP,90
F0K6DMK2S,90
F0K6DMK2S2,90
F0K6DMK2S2P,90
F0K6DMK2W,90
F0K6DMK2W2,90
F0K6DMK2W2P,90
F0K6DMK2WC,90
F0K6DNK0W2,90
F0K6DNK2S2,90
F0K6DNK2S2P,90
F0K6DNK2W,90
F0K6DNK2W2,90
F0K6DNK2W2P,90
F0L2CRV2T,90
F0L2CRV2T2,90
F0L2CRV2T2C,90
F0L2CRV2TC,90
F0L9DGP0W,94
F0L9DGP2S,94
F0L9DNP0W,94
F0L9DNP2S,94
F0L9DNP2W,94
F0L9DYP0W,94
F0L9DYP2E,94
F0L9DYP2S,94
F0L9DYP2W,90
F0L9DZP2W,94
F0P2CRV2E,90
F0P2CYV2E,90
F0P2CYV2T,90
F0P9CHK2E,84
F0RV308N1WD,150
F0RV309N1WD,150
F0RV508N1WD,150
F0RV509N1WD,150
F0Z6DRP24,108
F0Z6DRP249,108
F0Z6DRPK4,108
F0Z6DYP24,108
F0Z6DYP249,108
F0Z6DYP26,108
F0Z6DYPK4,108
F0Z6DYPKC,108
F0Z6DYPKM,108
F0Z8016TWC,90
F0Z8DRP24,94
F0Z8DYP24,94
F0Z8DYPK4,94
F0Z9DFP24,94
F0Z9DFP26,94
F0Z9DFPK4,94
F0Z9DFPKM,94
F1003ND,223
F1003NDP,223
F1003TD,159
F1007CWT,150
F1007NDPB,223
F1007NMCW,162
F1007NMPW,226
F1007NPPW,226
F1008XM,223
F1009XM,226
F1012TDP5,159
F1014NTGW,90
F1020ND,223
F1020ND1,223
F1020ND5,223
F1020NDP,223
F1020NDP5,223
F1020TD,162
F1020TD5,159
F1021ND,211
F1021ND5,211
F1021SDP,265
F1021TD,159
F1022ND,223
F1022ND5,223
F1022NDP,223
F1022QD,159
F1022QDT,108
F1022SDP,265
F1022TD,162
F1022TD0,159
F1022TD5,159
F1022TD7,159
F1023ND,228
F1024ND,211
F1024NDP,211
F1025TP,159
F1039SD,264
F1047ND,223
F1047TD,159
F1047TD5,159
F1048ND,223
F1048ND1,223
F1048QD,159
F1048TD,159
F1048TD1,159
F104A8JDH2N,150
F104A8JDS2,150
F104DV9RD2E,161
F104G1JCH2N,150
F104G1JCS2,150
F104J6JY0W,150
F104J8JH2W,150
F104J8JH2WD,150
F104J8JS2W,150
F104U1JBS2,150
F104U1JBS6,150
F10514WV,150
F1055LDP,223
F10560QD,159
F1056LD,211
F1056LDP,223
F1056LDP1,223
F1056LDP2,223
F1056LDP5,223
F1056MD,211
F1056MD5,228
F1056MDP,223
F1056MDP25,152
F1056ND,228
F1056ND1,223
F1056NDP,223
F1056NDP1,223
F1056NDP5,223
F1056QD,159
F1056QD1,159
F1056QD2,159
F1056QD5,159
F1056QDP,159
F1056QDP1,159
F1056QDP5,159
F1056QDT,159
F1056QDT5,159
F1056TD,159
F1056TD1,159
F1057ND,228
F1060QD1,159
F1060QDP5,159
F1060QDT21,159
F1060QDT25,159
F1066LP,223
F1066QP,159
F1068LD,223
F1068LD9,223
F1068LDP,223
F1068QD,159
F1068QD1,159
F1068QDP,159
F1068QDP2,159
F1068QDTA,159
F1069FD,90
F1069FD2,90
F1069FD2P,90
F1069FD2PS,90
F1069FD2S,90
F1069FD3,90
F1069FD3P,90
F1069FD3PS,90
F1069FD3S,90
F1069FD4,90
F1069FD4F,90
F1069FD4P,90
F1069FD4PS,90
F1069FD4S,90
F1069FD6,90
F1069FD6F,90
F1069FD6P,90
F1069FD6S,90
F1069FD7,90
F1069FD7F,90
F1069FD7P,90
F1069FD7S,90
F1069FD8,90
F1069FD8P,90
F1069FD9,90
F1069FD9P,90
F1069FDF,90
F1069FDP,90
F1069FDS,90
F1073ND,211
F1073ND3,223
F1073ND5,223
F1073QD,211
F1073QD1,159
F1073QD7,159
F1073QDP,159
F1073TD,159
F1073TD1,159
F1073TD4,159
F1073TD5,159
F1073TDP,159
F1081ND,223
F1081ND5,223
F1081TD,159
F1081TD5,159
F1087RDH27,56
F1088LD,223
F1088QD,159
F1089ND,223
F1089NDP,223
F1089NDP5,223
F1089QD,159
F1089TD,159
F1091LD,223
F1091LD1,223
F1091LDP,223
F1091LDP2,223
F1091MD2,144
F1091QD,159
F1091QDP,159
F1091QDP2,159
F1091QDTA,159
F1091QDW,159
F1091QDW1,159
F1092LD,228
F1092LDP2,223
F1092LDP21,223
F1092LDP25,223
F1092MD,223
F1092MD1,223
F1092MD5,228
F1092ND,223
F1092ND1,223
F1092NDP,223
F1092NDP1,223
F1092NDP2,223
F1092NDP25,223
F1092NDP5,223
F1092QD,159
F1092QDP,159
F1092QDP1,159
F1092QDP2,159
F1092QDP25,159
F1092QDP5,159
F1092QDT2,159
F1092QDT25,159
F1092QDTA5,159
F1092QDW5,159
F1092TD,159
F1092TDW1,159
F1094ND,223
F1096MDS0,223
F1096ND,225
F1096ND3,223
F1096ND4,223
F1096ND5,223
F1096NDA,223
F1096NDA3,225
F1096NDL24,223
F1096NDP23,226
F1096NDP24,226
F1096NDP3,223
F1096NDW3,225
F1096QD,159
F1096QD3,159
F1096QDW3,159
F1096QDWA3,159
F1096SD3,264
F1096SDS0,264
F1096SDS3,264
F1096TD,159
F1096TD3,159
F1096TD5,159
F1096WD,223
F1096WD3,223
F1096WDP,223
F1096WDP3,223
F10A5QD,159
F10A5QDP,159
F10A8HDS,223
F10A8ND,225
F10A8NDA,225
F10A8TDA,159
F10B5MD2,152
F10B5MD25,152
F10B5MDP2,152
F10B5NDL2,152
F10B5NDP2,144
F10B5NDP25,144
F10B8EDP2,108
F10B8EDP25,159
F10B8LD0,223
F10B8LD7,223
F10B8LDL2,223
F10B8LDL21,223
F10B8LDL25,223
F10B8LDP2,223
F10B8LDP21,226
F10B8LDP25,223
F10B8MD,223
F10B8MD1,223
F10B8MD5,223
F10B8MDP,223
F10B8MDP1,223
F10B8MDP5,223
F10B8ND,225
F10B8ND0,225
F10B8ND1,225
F10B8ND5,223
F10B8ND8,223
F10B8NDA,223
F10B8NDA0,225
F10B8NDA7,223
F10B8NDL2,223
F10B8NDL21,223
F10B8NDL25,223
F10B8NDP,223
F10B8NDP2,226
F10B8NDP21,226
F10B8NDP25,226
F10B8NDP5,223
F10B8NDPA,225
F10B8NDR,223
F10B8NDW,225
F10B8NDW1,225
F10B8NDW5,225
F10B8QD,2304
F10B8QD0,159
F10B8QD1,159
F10B8QD5,159
F10B8QDA6,159
F10B8QDA7,159
F10B8QDP,159
F10B8QDP2,159
F10B8QDP20,159
F10B8QDP21,159
F10B8QDP25,159
F10B8QDP5,161
F10B8QDT2,159
F10B8QDT25,159
F10B8QDW,159
F10B8QDW5,159
F10B8SD0,264
F10B8TD1,159
F10B8TDW,159
F10B9LD,225
F10B9LD1,225
F10B9LDL2,223
F10B9LDP,223
F10B9LDP2,223
F10B9LDW,225
F10B9QD,159
F10B9QDA,159
F10B9QDP,2500
F10B9QDP2,159
F10B9QDT2,159
F10B9QDW,159
F10B9SD,264
F10C3LD,223
F10C3LD1,223
F10C3LDP,223
F10C3LDP2,226
F10C3NDP2,159
F10C3NDP5,223
F10C3QD,159
F10C3QDP,159
F10C3QDP2,161
F10C3TDP0,161
F10C7FD1,90
F10C7FD3,56
F10C7FD4,90
F10C7FD7,56
F10F6RDS27,90
F10SR,150
F10U2NNP7S,223
F10U2QDN0,159
F10U2QDN1,159
F10WR,150
F10WRA,150
F10WV,162
F1102RDP,150
F1102RDT,150
F1103RDP,150
F1103RDT,150
F1106VRD,150
F1107ERDS,150
F1107VRDS,150
F1107VRDSD,150
F1107VRDSTT,150
F111400C,150
F111400W,150
F11WM15TS2,90
F11WM17TS2,90
F11WM17TS2B,90
F11WM17VT2,90
F1201FD,90
F1201FD2,90
F1201FD4,90
F1201FDK,90
F1201FDP,90
F1201FDP1,90
F1201FDP2,90
F1201FDSU,90
F1201FDSU7,90
F1201FDSU9,90
F1201FDU,90
F1201FDU2,90
F1201FDU7,90
F1201FDU9,90
F12030CDP,211
F1203CD,223
F1203CDP,223
F1203CDP5,223
F1203FD,150
F1203FDS,150
F1203ND,223
F1203ND5,223
F1203NDP,223
F1203NDP5,223
F1203TD,159
F1203TD3,159
F1203TD6,159
F1203TDS,159
F1203TDS5,159
F1203TDS6,159
F1203YD,223
F1206ND,225
F1207CDPB,223
F1207NMCW,162
F1207NMPW,159
F1207NMTW,152
F1207TDPB,159
F1208CWM,240
F1208CWT,102
F1208NMCW,161
F1208NMPW,161
F1208NMTS,161
F1208NPRW,159
F1209TDS,159
F1210RDG,90
F1210RDMU,90
F1210RDSB,90
F1210RDSU,90
F1210RDSU1,90
F1210RDW1,90
F1211NDP,228
F1211NDR,228
F1211TDP,162
F1212RD,90
F1212TDP,159
F1213RDSW,90
F1214WVT,102
F1215KG,90
F1215RD,90
F1216FDS1,90
F1219TD,159
F1220ND,223
F1220ND5,223
F1220NDP,223
F1220NDP5,223
F1220TD,162
F1220TD5,159
F1221ND,211
F1221ND5,211
F1221SDP,265
F1221TD,159
F12220TD,159
F1222ND,223
F1222ND5,223
F1222NDC,211
F1222NDP,223
F1222QD,159
F1222SDP,265
F1222TD,162
F1222TD2,159
F1222TD25,159
F1222TD5,159
F1222TDP5,159
F1222TDW,159
F1223ND,228
F1223ND5,211
F1223TD,159
F1225TP,159
F1226FD,90
F1226FD4,90
F1231RDSB,90
F1231RDSC,90
F1231RDSW1,90
F1231RDSWS,90
F1232RDC,90
F1232RDG,90
F1232RDSW,90
F1232RDSW2,90
F1232RDT2,90
F1232RDW,90
